Rainfall_actual,diff_deg_actual
0,9.2
0,10.2
0,9.2
0,9.1
0,10.2
0,6.4
0,5.7
0,6.8
0,5.7
0,14
0,22.6
0.4,10.6
0,29.2
2,2
1.2,6
0.6,14.7
0,18.9
0,19.2
0,15.8
1.4,8.7
0.6,6.8
0,5.8
3.6,5.9
0,7.1
0.2,5.6
0,11.9
0,11.1
14.4,6.2
13,4.6
1,10.7
28,6.6
0,13.1
0,14.6
0.6,4.8
0.8,4.8
0,11
0,17.1
0,11.1
0,7
0,6.9
0,7.5
0,6.1
0,8.4
0,15.4
0,12.8
0,16.3
0.4,5.5
0.2,10.1
1.2,7.1
0.2,7.8
0,8
0,14.3
0,16.6
0.2,23.9
0,4.5
0.8,11.8
0.2,10.2
0,6.1
0,6.8
0,7.1
0,19.8
0,16.8
0,6.8
0,17.5
0,3.4
0,8.6
0,6.5
0.2,21.8
0,6.7
2.8,2
6,8.4
0.2,1.9
0,5.8
0.2,5
0.2,8.9
0,16.5
0,16.8
10.6,5.9
3,7.4
1.6,11.2
0,9.2
0,15.3
0,18.4
0,4.4
0,5.3
0,9
0.2,5.9
0,5.2
0,3.2
0,4.4
0,14.3
0,15.4
0,4.7
0,12.5
0,14.7
0,19.4
9.2,2.9
2.6,12.5
0,9.5
0,13.5
0,10.1
0,6.4
0,6.9
0.6,5.2
0,11.9
0,19.1
0,8
0.6,5.8
0.2,18.1
0,17.3
0,18.1
0,6.1
8.6,3.2
0,6.9
0,9.6
0,18
0,16.7
0,10.4
0,3.8
0.2,4.1
9.2,9.2
14.8,2.5
0,10
0,8.3
2.2,10.8
0,10.5
0,11.4
0,17.9
7,5.7
1.6,6.7
11.4,4.7
0.6,5.6
0,8.2
0,6.2
0,9.6
0,8.3
0,14.2
0.8,4.9
0,7.4
0,5.3
1,9.3
0,13.4
0.2,10.4
1.6,4.8
2.2,7.9
0,11.8
8.8,2.4
2.2,9.3
0.4,9.5
0.4,3.3
0,9.4
0,14.3
0,12.9
0.2,9.3
0,10.4
6,4.8
2.2,4.3
1.4,8.3
0,8
0.8,4.6
2.2,7.9
0.2,8.1
2.4,5.9
0,10.6
0,11
0,10
0,12.1
0,7.7
6.6,5.7
8.2,2.8
0.2,6.3
3.4,4.5
0.4,7
0,6.5
0.2,4.4
12,4.7
0,10.6
0.2,10.2
0.2,7
0.2,11.8
0.2,8
0,2.6
6.6,6.4
0,6.8
0,6.6
0,2.5
3.6,4.4
19.2,3.9
6.4,1.5
1.8,9.3
0,11.4
0.2,7.7
2,5.4
0,2
2,8.2
0,8.4
0,6.9
0,7.9
0,15.7
0,9.6
0,4
1.8,7.7
1.6,14.5
3,8.3
7,4.3
1,8.8
0.2,7.6
5,5.5
0,5
0,9
0,5.9
3.8,7
1,9
1.8,3.8
8.4,7.3
1.2,5.1
0.2,10.8
0,12.6
0.2,9.2
0,9.4
0,11.5
0,7.9
0.2,6.5
6.4,8.9
0,8.2
1,8.9
0.2,9.7
0,11.9
0,8.6
0.2,3.7
0,16.6
0.2,1.4
10.8,9
0.8,5.6
1.4,10.2
1.6,7.1
0,10
0,8.5
0.2,10
0,10.2
0,9.2
0,11.2
0,4.3
0.8,9
0.2,4.6
1.4,4.5
0.2,7.8
0,9.3
0,8.1
0,14.4
