"date","rainfall_amount"
2008-01-01,7
2008-01-02,5.4
2008-01-03,3.2
2008-01-04,36.2
2008-01-05,27.4
2008-01-06,0
2008-01-07,42.2
2008-01-08,0
2008-01-09,0.6
2008-01-10,1.2
2008-01-11,0
2008-01-12,0.8
2008-01-13,0
2008-01-14,0
2008-01-15,8.4
2008-01-16,11.2
2008-01-17,0.8
2008-01-18,0.6
2008-01-19,0.2
2008-01-20,0
2008-01-21,0.4
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-26,0
2008-01-27,0
2008-01-28,0
2008-01-29,0.8
2008-01-30,35
2008-01-31,3
2008-02-01,0
2008-02-02,0
2008-02-03,42
2008-02-04,42
2008-02-05,10.6
2008-02-06,5.2
2008-02-07,41.6
2008-02-08,0
2008-02-09,5
2008-02-10,0
2008-02-11,0
2008-02-12,10.2
2008-02-13,15.6
2008-02-14,8
2008-02-15,0.2
2008-02-16,0
2008-02-17,1.4
2008-02-18,2.2
2008-02-19,16.6
2008-02-20,0.2
2008-02-21,0
2008-02-22,0
2008-02-23,0
2008-02-24,0
2008-02-25,0
2008-02-26,1.2
2008-02-27,14.8
2008-02-28,0
2008-02-29,0
2008-03-01,0
2008-03-02,0
2008-03-03,0
2008-03-04,0
2008-03-05,0
2008-03-06,0
2008-03-07,0
2008-03-08,0
2008-03-09,0
2008-03-10,1.2
2008-03-11,0.6
2008-03-12,0
2008-03-13,0
2008-03-14,0
2008-03-15,0
2008-03-16,0.4
2008-03-17,2.8
2008-03-18,2.4
2008-03-19,1.4
2008-03-20,1.2
2008-03-21,3.6
2008-03-22,0
2008-03-23,0
2008-03-24,0.8
2008-03-25,0.6
2008-03-26,0
2008-03-27,5.4
2008-03-28,15
2008-03-29,6.4
2008-03-30,0
2008-03-31,0
2008-04-01,0
2008-04-02,0
2008-04-03,0
2008-04-04,0
2008-04-05,0
2008-04-06,0
2008-04-07,6.2
2008-04-08,0
2008-04-09,2.2
2008-04-10,0
2008-04-11,0.2
2008-04-12,0
2008-04-13,0
2008-04-14,0
2008-04-15,0
2008-04-16,0
2008-04-17,0
2008-04-18,0.8
2008-04-19,7
2008-04-20,0.4
2008-04-21,0
2008-04-22,0
2008-04-23,0
2008-04-24,0
2008-04-25,0
2008-04-26,0
2008-04-27,0
2008-04-28,0
2008-04-29,0
2008-04-30,0
2008-05-01,0
2008-05-02,0
2008-05-03,0
2008-05-04,0
2008-05-05,0
2008-05-06,0
2008-05-07,0
2008-05-08,0
2008-05-09,0
2008-05-10,0
2008-05-11,0
2008-05-12,0
2008-05-13,0
2008-05-14,0
2008-05-15,0
2008-05-16,0.2
2008-05-17,0
2008-05-18,5.4
2008-05-19,0
2008-05-20,0.2
2008-05-21,0
2008-05-22,0
2008-05-23,0
2008-05-24,0
2008-05-25,0
2008-05-26,0
2008-05-27,0
2008-05-28,0
2008-05-29,0.6
2008-05-30,31.8
2008-05-31,13.8
2008-06-01,1
2008-06-02,44.2
2008-06-03,60
2008-06-04,0.2
2008-06-05,0
2008-06-06,0
2008-06-07,5.6
2008-06-08,0
2008-06-09,0.8
2008-06-10,2.4
2008-06-11,0
2008-06-12,0
2008-06-13,0
2008-06-14,0
2008-06-15,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,3.6
2008-06-20,0
2008-06-21,3.8
2008-06-22,0.2
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,0
2008-07-04,0.8
2008-07-05,0
2008-07-06,16.2
2008-07-07,0
2008-07-08,24.2
2008-07-09,3.8
2008-07-10,0.2
2008-07-11,0
2008-07-12,0
2008-07-13,0
2008-07-14,0
2008-07-15,0
2008-07-16,5.4
2008-07-17,2.8
2008-07-18,0
2008-07-19,0
2008-07-20,0
2008-07-21,0
2008-07-22,0
2008-07-23,0.2
2008-07-24,12.6
2008-07-25,22.4
2008-07-26,0.4
2008-07-27,0
2008-07-28,2.4
2008-07-29,0
2008-07-30,0
2008-07-31,0
2008-08-01,0
2008-08-02,0
2008-08-03,0
2008-08-04,0
2008-08-05,0
2008-08-06,0.2
2008-08-07,0
2008-08-08,0
2008-08-09,0
2008-08-10,0
2008-08-11,0
2008-08-12,0
2008-08-13,0
2008-08-14,0
2008-08-15,0
2008-08-16,0
2008-08-17,0
2008-08-18,0
2008-08-19,0
