Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall_amount,Period over which rainfall was measured (days),Quality
IDCJAC0009,87031,2008,1,1,0,1,N
IDCJAC0009,87031,2008,1,2,0,1,N
IDCJAC0009,87031,2008,1,3,0,1,N
IDCJAC0009,87031,2008,1,4,0,1,N
IDCJAC0009,87031,2008,1,5,0,1,N
IDCJAC0009,87031,2008,1,6,0,1,N
IDCJAC0009,87031,2008,1,7,0,1,N
IDCJAC0009,87031,2008,1,8,0,1,N
IDCJAC0009,87031,2008,1,9,0,1,N
IDCJAC0009,87031,2008,1,10,0,1,N
IDCJAC0009,87031,2008,1,11,0,1,N
IDCJAC0009,87031,2008,1,12,0,1,N
IDCJAC0009,87031,2008,1,13,0,1,N
IDCJAC0009,87031,2008,1,14,0,1,N
IDCJAC0009,87031,2008,1,15,0,1,N
IDCJAC0009,87031,2008,1,16,0,1,N
IDCJAC0009,87031,2008,1,17,0,1,N
IDCJAC0009,87031,2008,1,18,0,1,N
IDCJAC0009,87031,2008,1,19,1,1,N
IDCJAC0009,87031,2008,1,20,8.6,1,N
IDCJAC0009,87031,2008,1,21,0,1,N
IDCJAC0009,87031,2008,1,22,0,1,N
IDCJAC0009,87031,2008,1,23,0,1,N
IDCJAC0009,87031,2008,1,24,0,1,N
IDCJAC0009,87031,2008,1,25,0,1,N
IDCJAC0009,87031,2008,1,26,0,1,N
IDCJAC0009,87031,2008,1,27,0,1,N
IDCJAC0009,87031,2008,1,28,0,1,N
IDCJAC0009,87031,2008,1,29,0,1,N
IDCJAC0009,87031,2008,1,30,0,1,N
IDCJAC0009,87031,2008,1,31,0.6,1,N
IDCJAC0009,87031,2008,2,1,5.2,1,N
IDCJAC0009,87031,2008,2,2,0,1,N
IDCJAC0009,87031,2008,2,3,0,1,N
IDCJAC0009,87031,2008,2,4,0,1,N
IDCJAC0009,87031,2008,2,5,0,1,N
IDCJAC0009,87031,2008,2,6,0.2,1,N
IDCJAC0009,87031,2008,2,7,4.2,1,N
IDCJAC0009,87031,2008,2,8,1,1,N
IDCJAC0009,87031,2008,2,9,0,1,N
IDCJAC0009,87031,2008,2,10,0,1,N
IDCJAC0009,87031,2008,2,11,0,1,N
IDCJAC0009,87031,2008,2,12,0,1,N
IDCJAC0009,87031,2008,2,13,0,1,N
IDCJAC0009,87031,2008,2,14,0,1,N
IDCJAC0009,87031,2008,2,15,0,1,N
IDCJAC0009,87031,2008,2,16,0.2,1,N
IDCJAC0009,87031,2008,2,17,0,1,N
IDCJAC0009,87031,2008,2,18,0,1,N
IDCJAC0009,87031,2008,2,19,0,1,N
IDCJAC0009,87031,2008,2,20,1,1,N
IDCJAC0009,87031,2008,2,21,4.2,1,N
IDCJAC0009,87031,2008,2,22,0,1,N
IDCJAC0009,87031,2008,2,23,0.4,1,N
IDCJAC0009,87031,2008,2,24,0,1,N
IDCJAC0009,87031,2008,2,25,0,1,N
IDCJAC0009,87031,2008,2,26,0,1,N
IDCJAC0009,87031,2008,2,27,0,1,N
IDCJAC0009,87031,2008,2,28,0.6,1,N
IDCJAC0009,87031,2008,2,29,0,1,N
IDCJAC0009,87031,2008,3,1,0.8,1,N
IDCJAC0009,87031,2008,3,2,0,1,N
IDCJAC0009,87031,2008,3,3,0,1,N
IDCJAC0009,87031,2008,3,4,0,1,N
IDCJAC0009,87031,2008,3,5,0,1,N
IDCJAC0009,87031,2008,3,6,0,1,N
IDCJAC0009,87031,2008,3,7,0,1,N
IDCJAC0009,87031,2008,3,8,0.8,1,N
IDCJAC0009,87031,2008,3,9,0,1,N
IDCJAC0009,87031,2008,3,10,0,1,N
IDCJAC0009,87031,2008,3,11,0,1,N
IDCJAC0009,87031,2008,3,12,0,1,N
IDCJAC0009,87031,2008,3,13,0,1,N
IDCJAC0009,87031,2008,3,14,0,1,N
IDCJAC0009,87031,2008,3,15,0,1,N
IDCJAC0009,87031,2008,3,16,0,1,N
IDCJAC0009,87031,2008,3,17,0,1,N
IDCJAC0009,87031,2008,3,18,0,1,N
IDCJAC0009,87031,2008,3,19,0,1,N
IDCJAC0009,87031,2008,3,20,0,1,N
IDCJAC0009,87031,2008,3,21,0.2,1,N
IDCJAC0009,87031,2008,3,22,0,1,N
IDCJAC0009,87031,2008,3,23,0,1,N
IDCJAC0009,87031,2008,3,24,0,1,N
IDCJAC0009,87031,2008,3,25,10.8,1,N
IDCJAC0009,87031,2008,3,26,0,1,N
IDCJAC0009,87031,2008,3,27,3.6,1,N
IDCJAC0009,87031,2008,3,28,3,1,N
IDCJAC0009,87031,2008,3,29,0,1,N
IDCJAC0009,87031,2008,3,30,1.4,1,N
IDCJAC0009,87031,2008,3,31,0,1,N
IDCJAC0009,87031,2008,4,1,0.4,1,N
IDCJAC0009,87031,2008,4,2,0,1,N
IDCJAC0009,87031,2008,4,3,1.4,1,N
IDCJAC0009,87031,2008,4,4,0.2,1,N
IDCJAC0009,87031,2008,4,5,0,1,N
IDCJAC0009,87031,2008,4,6,0,1,N
IDCJAC0009,87031,2008,4,7,0,1,N
IDCJAC0009,87031,2008,4,8,0,1,N
IDCJAC0009,87031,2008,4,9,0,1,N
IDCJAC0009,87031,2008,4,10,0,1,N
IDCJAC0009,87031,2008,4,11,0,1,N
IDCJAC0009,87031,2008,4,12,0,1,N
IDCJAC0009,87031,2008,4,13,0.4,1,N
IDCJAC0009,87031,2008,4,14,0,1,N
IDCJAC0009,87031,2008,4,15,4.2,1,N
IDCJAC0009,87031,2008,4,16,0,1,N
IDCJAC0009,87031,2008,4,17,0,1,N
IDCJAC0009,87031,2008,4,18,0,1,N
IDCJAC0009,87031,2008,4,19,0,1,N
IDCJAC0009,87031,2008,4,20,0,1,N
IDCJAC0009,87031,2008,4,21,0,1,N
IDCJAC0009,87031,2008,4,22,0,1,N
IDCJAC0009,87031,2008,4,23,0.2,1,N
IDCJAC0009,87031,2008,4,24,0,1,N
IDCJAC0009,87031,2008,4,25,0,1,N
IDCJAC0009,87031,2008,4,26,1,1,N
IDCJAC0009,87031,2008,4,27,4.4,1,N
IDCJAC0009,87031,2008,4,28,0,1,N
IDCJAC0009,87031,2008,4,29,0.2,1,N
IDCJAC0009,87031,2008,4,30,0,1,N
IDCJAC0009,87031,2008,5,1,0.8,1,N
IDCJAC0009,87031,2008,5,2,8.8,1,N
IDCJAC0009,87031,2008,5,3,4.8,1,N
IDCJAC0009,87031,2008,5,4,0,1,N
IDCJAC0009,87031,2008,5,5,0,1,N
IDCJAC0009,87031,2008,5,6,0,1,N
IDCJAC0009,87031,2008,5,7,5.2,1,N
IDCJAC0009,87031,2008,5,8,0,1,N
IDCJAC0009,87031,2008,5,9,0,1,N
IDCJAC0009,87031,2008,5,10,0,1,N
IDCJAC0009,87031,2008,5,11,0,1,N
